County,2020-21 Public Schools,2019 Public School CCRPI Score,"2020-21 Most Recent SAT Administration Average Scores, Combined",2019-20 ACT Composite Score
APPLING,6,72.8,"1,019",19
ATKINSON,4,76.8,-,-
BACON,4,81.5,"1,019",-
BAKER,1,60.4,820,-
BALDWIN,6,69.7,990,16
BANKS,4,74.8,"1,078",20
BARROW,16,76.7,"1,053",19
BARTOW,19,69.3,"1,051",20
BEN HILL,5,64.3,955,16
BERRIEN,5,69.7,"1,040",21
BIBB,35,68.5,975,18
BLECKLEY,5,79.9,"1,149",19
BRANTLEY,7,76.4,"1,110",21
BROOKS,6,59.6,925,17
BRYAN,10,85.4,"1,095",22
BULLOCH,15,73.7,"1,100",20
BURKE,5,68.1,"1,053",18
BUTTS,5,65.5,"1,066",18
CALHOUN,3,56.3,-,-
CAMDEN,12,86.4,"1,073",21
CANDLER,4,68.8,973,18
CARROLL,24,79,"1,047",20
CATOOSA,16,79.6,"1,157",20
CHARLTON,4,80.2,"1,041",-
CHATHAM,60,71.4,"1,042",19
CHATTAHOOCHEE,3,75.7,-,-
CHATTOOGA,5,73.6,-,19
CHEROKEE,37,83.4,"1,129",22
CLARKE,21,66,"1,069",19
CLAY,2,67.7,-,-
CLAYTON,66,62.4,977,17
CLINCH,3,71.6,939,-
COBB,110,86.1,"1,144",23
COFFEE,12,77,"1,027",20
COLQUITT,13,70.6,"1,060",19
COLUMBIA,31,81.2,"1,113",23
COOK,4,72.6,"1,006",17
COWETA,29,84.8,"1,116",21
CRAWFORD,3,64.4,"1,027",18
CRISP,5,69.7,991,19
DADE,4,78.4,"1,026",20
DAWSON,7,78.2,"1,051",21
DECATUR,6,66,"1,023",19
DEKALB,131,75.4,"1,100",20
DODGE,5,68.5,"1,083",19
DOOLY,4,56.3,-,16
DOUGHERTY,22,65.8,954,17
DOUGLAS,35,75.9,"1,038",19
EARLY,3,63.2,953,17
ECHOLS,2,79.1,"1,009",17
EFFINGHAM,13,83.8,"1,113",21
ELBERT,5,62.6,"1,019",18
EMANUEL,6,66.2,"1,006",19
EVANS,4,67.1,"1,075",-
FANNIN,5,71.7,"1,089",22
FAYETTE,24,89.5,"1,154",23
FLOYD,17,81.6,"1,082",20
FORSYTH,41,92.7,"1,178",25
FRANKLIN,5,72.4,"1,059",19
FULTON,110,83.8,"1,098",24
GILMER,5,79.5,993,20
GLASCOCK,2,71.9,"1,031",-
GLYNN,17,83.7,"1,108",21
GORDON,10,75.2,"1,033",19
GRADY,7,63.3,957,18
GREENE,5,68.8,-,18
GWINNETT,139,82.5,"1,128",23
HABERSHAM,14,80.9,"1,107",26
HALL,37,72.4,"1,106",21
HANCOCK,3,56,-,16
HARALSON,7,76.1,"1,079",20
HARRIS,7,78.5,"1,125",21
HART,5,75.5,"1,051",19
HEARD,6,75.3,"1,039",19
HENRY,50,77.3,"1,032",19
HOUSTON,37,83.1,"1,096",21
IRWIN,3,75.5,982,18
JACKSON,10,78.9,"1,055",21
JASPER,4,74.9,"1,053",18
JEFF DAVIS,4,70.8,981,18
JEFFERSON,5,65.8,910,-
JENKINS,3,72.1,-,18
JOHNSON,3,75,"1,042",17
JONES,7,74.9,"1,058",19
LAMAR,4,63,"1,003",18
LANIER,4,72.5,"1,022",-
LAURENS,8,83.2,"1,038",20
LEE,8,84.5,"1,049",20
LIBERTY,12,72.2,"1,017",18
LINCOLN,3,72.5,"1,075",19
LONG,4,75.4,975,18
LOWNDES,11,82.1,"1,104",21
LUMPKIN,5,75.5,"1,069",20
MCDUFFIE,6,68,874,17
MCINTOSH,3,66.5,"1,068",20
MACON,3,66.2,"1,038",18
MADISON,7,81.6,"1,022",18
MARION,2,68.8,-,-
MERIWETHER,7,68.6,-,17
MILLER,3,69.9,940,-
MITCHELL,4,58.8,"1,024",17
MONROE,5,87.7,"1,078",20
MONTGOMERY,3,75.8,-,-
MORGAN,4,77.7,"1,048",20
MURRAY,11,67.3,"1,025",19
MUSCOGEE,53,74.2,"1,111",19
NEWTON,22,63.9,"1,009",18
OCONEE,11,92.5,"1,127",24
OGLETHORPE,4,80,"1,047",20
PAULDING,33,79.9,"1,060",20
PEACH,6,70.2,"1,039",17
PICKENS,6,73.8,"1,121",23
PIERCE,5,83.4,"1,138",20
PIKE,5,74.5,"1,049",20
POLK,11,65.8,"1,059",20
PULASKI,3,75.4,-,-
PUTNAM,4,60.2,"1,118",19
QUITMAN,2,69.8,-,-
RABUN,4,82.9,"1,064",20
RANDOLPH,3,62.7,-,-
RICHMOND,52,59.3,"1,020",17
ROCKDALE,18,69.5,"1,075",19
SCHLEY,2,80.8,"1,190",20
SCREVEN,3,81.1,"1,112",21
SEMINOLE,2,63.2,"1,053",-
SPALDING,18,65.9,"1,000",18
STEPHENS,6,71.3,"1,074",20
STEWART,3,76.9,-,-
SUMTER,5,65.6,963,17
TALBOT,1,58.9,-,-
TALIAFERRO,1,66.1,"1,041",20
TATTNALL,6,69.5,958,19
TAYLOR,4,64.4,980,-
TELFAIR,4,68.6,908,16
TERRELL,3,69.8,"1,030",19
THOMAS,7,72.5,"1,059",19
TIFT,11,70.3,979,17
TOOMBS,5,72.8,"1,035",21
TOWNS,3,79.6,"1,008",-
TREUTLEN,2,58.8,"1,110",20
TROUP,19,70.5,-,15
TURNER,3,63.7,903,-
TWIGGS,3,68.2,"1,062",22
UNION,5,76.5,"1,041",17
UPSON,4,74.9,"1,214",19
WALKER,15,73.5,"1,059",20
WALTON,15,80.7,"1,048",22
WARE,9,75.8,-,-
WARREN,3,69.5,986,18
WASHINGTON,4,68.9,"1,072",18
WAYNE,8,73.2,-,17
WEBSTER,2,72.6,-,-
WHEELER,3,71.2,"1,106",22
WHITE,6,79.6,"1,050",20
WHITFIELD,22,77.9,"1,060",15
WILCOX,3,75.7,945,18
WILKES,4,72.2,997,17
WILKINSON,4,59.7,"1,023",17
WORTH,5,66.4,"143,077","2,538"
GEORGIA,"2,310",-,"1,094",21
,,,,
"Sources: Governor's Office of Student Achievement, Report Card. Downloadable data files.",,,,
"Georgia Department of Education, Student Enrollment by Grade Level (PK-12).",,,,
"Georgia Department of Education, College and Career Ready Performance Index.",,,,
,,,,
"Notes: Rank: 1 = highest (range 1-159) When counties share the same rank, a range is shown. Because of rounded data, counties may have identical values shown, but different ranks.",,,,
Advanced Degrees include teachers who hold certificates beyond the four-year level. Minority includes all ethnic groups other than White.,,,,