County,Avg_Temp,Max_Temp,Min_Temp,Percipitation,
"Appling County, GA",66.4°F,77.9°F,54.9°F,"58.33""",
"Atkinson County, GA",66.3°F,77.7°F,55.0°F,"57.63""",
"Bacon County, GA",66.2°F,77.5°F,55.0°F,"54.15""",
"Baker County, GA",66.8°F,77.2°F,56.4°F,"55.60""",
"Baldwin County, GA",64.5°F,76.9°F,52.2°F,"50.43""",
"Banks County, GA",61.8°F,72.6°F,51.0°F,"57.98""",
"Barrow County, GA",62.2°F,73.1°F,51.3°F,"53.92""",
"Bartow County, GA",61.2°F,72.5°F,49.9°F,"57.80""",
"Ben Hill County, GA",66.2°F,77.3°F,55.0°F,"56.54""",
"Berrien County, GA",66.1°F,77.6°F,54.5°F,"63.30""",
"Bibb County, GA",64.8°F,77.2°F,52.5°F,"50.86""",
"Bleckley County, GA",65.5°F,77.4°F,53.5°F,"54.91""",
"Brantley County, GA",67.1°F,78.7°F,55.5°F,"60.56""",
"Brooks County, GA",66.6°F,77.5°F,55.6°F,"65.18""",
"Bryan County, GA",67.1°F,78.3°F,55.9°F,"57.54""",
"Bulloch County, GA",66.3°F,78.2°F,54.3°F,"57.58""",
"Burke County, GA",65.1°F,77.0°F,53.1°F,"47.76""",
"Butts County, GA",63.9°F,76.1°F,51.6°F,"50.41""",
"Calhoun County, GA",66.2°F,76.6°F,55.8°F,"56.82""",
"Camden County, GA",68.4°F,78.5°F,58.2°F,"55.27""",
"Candler County, GA",66.1°F,78.0°F,54.1°F,"59.13""",
"Carroll County, GA",61.7°F,73.0°F,50.4°F,"64.84""",
"Catoosa County, GA",60.8°F,71.5°F,50.1°F,"63.11""",
"Charlton County, GA",67.9°F,79.2°F,56.6°F,"55.23""",
"Chatham County, GA",67.3°F,77.8°F,56.8°F,"53.11""",
"Chattahoochee County, GA",64.2°F,76.0°F,52.3°F,"55.28""",
"Chattooga County, GA",60.8°F,71.9°F,49.7°F,"70.29""",
"Cherokee County, GA",60.5°F,71.3°F,49.6°F,"58.11""",
"Clarke County, GA",62.9°F,73.8°F,52.0°F,"48.61""",
"Clay County, GA",65.8°F,76.4°F,55.1°F,"59.38""",
"Clayton County, GA",63.3°F,73.9°F,52.6°F,"51.23""",
"Clinch County, GA",66.8°F,78.1°F,55.5°F,"55.15""",
"Cobb County, GA",61.9°F,72.7°F,51.2°F,"54.20""",
"Coffee County, GA",66.2°F,77.3°F,55.2°F,"56.40""",
"Colquitt County, GA",65.9°F,76.9°F,55.0°F,"63.30""",
"Columbia County, GA",64.3°F,75.5°F,53.1°F,"47.29""",
"Cook County, GA",66.0°F,77.4°F,54.6°F,"65.08""",
"Coweta County, GA",62.9°F,74.0°F,51.9°F,"54.41""",
"Crawford County, GA",64.5°F,76.7°F,52.3°F,"50.71""",
"Crisp County, GA",66.1°F,77.4°F,54.7°F,"49.05""",
"Dade County, GA",59.6°F,69.4°F,49.9°F,"69.27""",
"Dawson County, GA",59.0°F,69.9°F,48.1°F,"63.30""",
"Decatur County, GA",67.5°F,78.3°F,56.7°F,"61.19""",
"DeKalb County, GA",62.6°F,73.4°F,51.9°F,"52.41""",
"Dodge County, GA",65.6°F,77.2°F,54.0°F,"56.63""",
"Dooly County, GA",65.8°F,77.4°F,54.2°F,"51.26""",
"Dougherty County, GA",66.4°F,76.9°F,56.0°F,"53.76""",
"Douglas County, GA",62.2°F,73.1°F,51.2°F,"57.63""",
"Early County, GA",66.7°F,77.2°F,56.1°F,"63.19""",
"Echols County, GA",67.0°F,78.0°F,56.0°F,"55.63""",
"Effingham County, GA",66.6°F,78.3°F,54.9°F,"54.54""",
"Elbert County, GA",62.4°F,73.1°F,51.7°F,"49.72""",
"Emanuel County, GA",65.4°F,77.3°F,53.5°F,"55.92""",
"Evans County, GA",66.6°F,78.5°F,54.8°F,"60.04""",
"Fannin County, GA",56.7°F,68.1°F,45.2°F,"72.09""",
"Fayette County, GA",63.3°F,74.1°F,52.5°F,"49.96""",
"Floyd County, GA",61.4°F,72.8°F,50.0°F,"62.85""",
"Forsyth County, GA",60.4°F,71.3°F,49.5°F,"55.72""",
"Franklin County, GA",61.8°F,72.6°F,50.8°F,"49.01""",
"Fulton County, GA",62.3°F,73.1°F,51.6°F,"53.24""",
"Gilmer County, GA",57.5°F,68.3°F,46.6°F,"72.58""",
"Glascock County, GA",63.8°F,75.5°F,52.1°F,"50.05""",
"Glynn County, GA",68.0°F,78.3°F,57.7°F,"54.47""",
"Gordon County, GA",60.9°F,72.4°F,49.4°F,"63.94""",
"Grady County, GA",67.2°F,77.9°F,56.5°F,"61.90""",
"Greene County, GA",63.8°F,75.6°F,51.9°F,"47.38""",
"Gwinnett County, GA",61.7°F,72.6°F,50.9°F,"54.38""",
"Habersham County, GA",59.6°F,70.1°F,49.1°F,"67.84""",
"Hall County, GA",60.9°F,71.6°F,50.1°F,"60.88""",
"Hancock County, GA",63.8°F,75.8°F,51.8°F,"49.79""",
"Haralson County, GA",61.0°F,72.2°F,49.9°F,"64.53""",
"Harris County, GA",62.9°F,74.6°F,51.3°F,"55.71""",
"Hart County, GA",62.0°F,72.8°F,51.2°F,"47.69""",
"Heard County, GA",62.5°F,74.0°F,51.0°F,"59.38""",
"Henry County, GA",63.5°F,74.8°F,52.3°F,"50.49""",
"Houston County, GA",65.4°F,77.4°F,53.4°F,"52.48""",
"Irwin County, GA",66.0°F,77.3°F,54.7°F,"59.01""",
"Jackson County, GA",62.2°F,73.0°F,51.4°F,"54.08""",
"Jasper County, GA",63.9°F,76.7°F,51.1°F,"51.58""",
"Jeff Davis County, GA",66.1°F,77.2°F,55.0°F,"57.80""",
"Jefferson County, GA",64.2°F,76.0°F,52.5°F,"49.85""",
"Jenkins County, GA",65.4°F,77.5°F,53.2°F,"50.50""",
"Johnson County, GA",64.8°F,76.6°F,52.9°F,"53.14""",
"Jones County, GA",64.5°F,77.1°F,51.8°F,"51.01""",
"Lamar County, GA",63.8°F,75.7°F,51.8°F,"49.91""",
"Lanier County, GA",66.3°F,77.8°F,54.8°F,"59.94""",
"Laurens County, GA",65.4°F,77.2°F,53.6°F,"57.68""",
"Lee County, GA",66.3°F,76.9°F,55.6°F,"52.01""",
"Liberty County, GA",67.2°F,78.3°F,56.2°F,"58.77""",
"Lincoln County, GA",63.2°F,74.1°F,52.3°F,"46.34""",
"Long County, GA",67.2°F,78.8°F,55.6°F,"60.71""",
"Lowndes County, GA",66.5°F,77.7°F,55.4°F,"60.09""",
"Lumpkin County, GA",58.4°F,69.5°F,47.2°F,"68.40""",
"McDuffie County, GA",63.7°F,75.1°F,52.4°F,"48.75""",
"McIntosh County, GA",67.6°F,77.7°F,57.4°F,"54.72""",
"Macon County, GA",65.2°F,76.8°F,53.6°F,"50.95""",
"Madison County, GA",62.1°F,72.9°F,51.3°F,"49.69""",
"Marion County, GA",64.1°F,75.6°F,52.7°F,"55.10""",
"Meriwether County, GA",63.0°F,74.3°F,51.6°F,"50.92""",
"Miller County, GA",67.1°F,77.7°F,56.5°F,"61.30""",
"Mitchell County, GA",66.7°F,77.2°F,56.2°F,"56.48""",
"Monroe County, GA",64.1°F,76.7°F,51.6°F,"50.64""",
"Montgomery County, GA",66.0°F,77.5°F,54.4°F,"65.19""",
"Morgan County, GA",63.7°F,75.8°F,51.6°F,"50.42""",
"Murray County, GA",59.9°F,70.7°F,49.1°F,"71.85""",
"Muscogee County, GA",63.9°F,75.8°F,52.1°F,"55.69""",
"Newton County, GA",63.3°F,75.3°F,51.3°F,"51.45""",
"Oconee County, GA",63.2°F,74.4°F,52.0°F,"48.34""",
"Oglethorpe County, GA",62.9°F,74.1°F,51.8°F,"46.91""",
"Paulding County, GA",61.6°F,72.5°F,50.6°F,"56.92""",
"Peach County, GA",64.9°F,77.0°F,52.8°F,"51.34""",
"Pickens County, GA",59.0°F,69.7°F,48.3°F,"64.44""",
"Pierce County, GA",66.7°F,78.2°F,55.2°F,"58.07""",
"Pike County, GA",63.5°F,74.9°F,52.2°F,"48.41""",
"Polk County, GA",61.6°F,72.8°F,50.5°F,"59.86""",
"Pulaski County, GA",65.8°F,77.6°F,54.0°F,"54.78""",
"Putnam County, GA",64.2°F,76.8°F,51.6°F,"51.07""",
"Quitman County, GA",65.0°F,76.2°F,53.7°F,"57.00""",
"Rabun County, GA",57.3°F,68.0°F,46.7°F,"67.65""",
"Randolph County, GA",65.4°F,76.1°F,54.6°F,"58.12""",
"Richmond County, GA",65.3°F,76.7°F,53.9°F,"48.54""",
"Rockdale County, GA",63.1°F,74.4°F,51.7°F,"51.40""",
"Schley County, GA",64.9°F,76.0°F,53.7°F,"54.69""",
"Screven County, GA",65.6°F,77.7°F,53.5°F,"53.50""",
"Seminole County, GA",67.5°F,78.2°F,56.8°F,"64.69""",
"Spalding County, GA",63.8°F,75.0°F,52.5°F,"48.93""",
"Stephens County, GA",61.2°F,71.8°F,50.4°F,"58.50""",
"Stewart County, GA",64.5°F,76.1°F,52.8°F,"56.87""",
"Sumter County, GA",65.8°F,76.6°F,54.9°F,"54.61""",
"Talbot County, GA",63.4°F,75.1°F,51.7°F,"52.14""",
"Taliaferro County, GA",63.3°F,74.8°F,51.9°F,"48.25""",
"Tattnall County, GA",66.6°F,78.4°F,55.0°F,"61.62""",
"Taylor County, GA",64.2°F,75.9°F,52.5°F,"51.03""",
"Telfair County, GA",66.1°F,77.4°F,54.9°F,"58.18""",
"Terrell County, GA",65.9°F,76.4°F,55.4°F,"55.91""",
"Thomas County, GA",66.8°F,77.6°F,56.1°F,"64.84""",
"Tift County, GA",65.7°F,77.1°F,54.3°F,"62.00""",
"Toombs County, GA",66.2°F,77.8°F,54.6°F,"63.70""",
"Towns County, GA",56.5°F,67.8°F,45.2°F,"69.70""",
"Treutlen County, GA",65.6°F,77.3°F,53.8°F,"63.07""",
"Troup County, GA",62.8°F,74.3°F,51.2°F,"55.30""",
"Turner County, GA",65.7°F,77.1°F,54.4°F,"53.46""",
"Twiggs County, GA",65.2°F,77.2°F,53.1°F,"52.52""",
"Union County, GA",56.5°F,68.0°F,45.0°F,"71.99""",
"Upson County, GA",63.8°F,75.6°F,51.9°F,"50.09""",
"Walker County, GA",60.3°F,70.8°F,49.8°F,"66.04""",
"Walton County, GA",62.8°F,74.2°F,51.4°F,"51.79""",
"Ware County, GA",67.0°F,78.3°F,55.6°F,"55.20""",
"Warren County, GA",63.5°F,75.0°F,51.9°F,"49.79""",
"Washington County, GA",64.4°F,76.2°F,52.5°F,"49.95""",
"Wayne County, GA",67.0°F,78.6°F,55.3°F,"60.38""",
"Webster County, GA",65.0°F,76.1°F,53.9°F,"56.80""",
"Wheeler County, GA",66.0°F,77.5°F,54.5°F,"62.63""",
"White County, GA",58.7°F,69.6°F,47.7°F,"70.56""",
"Whitfield County, GA",60.7°F,71.6°F,49.9°F,"66.39""",
"Wilcox County, GA",66.0°F,77.5°F,54.5°F,"53.29""",
"Wilkes County, GA",62.9°F,73.9°F,52.0°F,"47.33""",
"Wilkinson County, GA",65.0°F,77.0°F,52.9°F,"51.19""",
"Worth County, GA",65.9°F,76.8°F,55.0°F,"54.34""",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,